Item,Company,Type,PriceSource,Price,WeightGrams,DiameterInches,HorizontalPixels,VerticalPixels,BrightnessNits,Model,DataSource01,SampleDate,DataSource02,AmazonName
Acer Aspire E15 Touch,Acer,laptop,http://www.amazon.com/Acer-Aspire-ES1-511-C59V-15-6-Inch-Diamond/dp/B00K2O4TI8,278.19,2399.5,15.6,1366,768,193,E5-571P-363N,http://www.laptopmag.com/review/laptops/acer-aspire-e15-touch.aspx,07/30/14,,B00K2O4TI8
Acer Aspire V3-111P,Acer,laptop,http://www.amazon.com/Acer-Aspire-V3-111P-43BC-11-6-Inch-Touchscreen/dp/B00K2O4VLS,379,1388,11.6,1366,768,171,NX.MP0AA.004,http://www.laptopmag.com/reviews/laptops/acer-aspire-v3-111p.aspx,07/31/14,,B00K2O4VLS
Fire Phone,Amazon,smartphone,http://www.amazon.com/Fire_Phone_13MP-Camera_32GB/dp/B00EOE0WKQ,649,160,4.7,1280,720,590,B00EOE0WKQ,http://www.amazon.com/Amazon-Fire-Phone-32GB-AT/dp/B00EOE0WKQ#tech,06/24/14,http://www.amazon.com/Amazon-Fire-Phone-32GB-AT/dp/B00EOE0WKQ#tech,B00EOE0WKQ
Kindle Fire HD 7“,Amazon,tablet,http://www.amazon.com/dp/B00CU0NSCU?tag=googhydr-20&hvadid=53470617089&hvpos=1t1&hvexid=&hvnetw=g&hvrand=14296804749799297446&hvpone=&hvptwo=&hvqmt=b&hvdev=c&ref=pd_sl_t2qeoqliw_b,139,395,7,1280,800,486,B00C5W16B8,http://www.amazon.com/Kindle-Fire-HD-Display-Wi-Fi/dp/B00C5W16B8/ref=sr_1_3?s=electronics&ie=UTF8&qid=1402512304&sr=1-3&keywords=amazon+tablets#tech,06/11/14,http://www.notebookcheck.net/Review-Amazon-Kindle-Fire-HD-8-9-Tablet.85965.0.html,B00CU0NSCU
Kindle Fire HDX 7”,Amazon,tablet,http://www.amazon.com/dp/B00BWYQ9YE/ref=fs_j,229,311,7,1920,1200,527,B00BWYQ9YE,http://www.amazon.com/Kindle-Fire-HD-Display-Wi-Fi/dp/B00C5W16B8/ref=sr_1_3?s=electronics&ie=UTF8&qid=1402512304&sr=1-3&keywords=amazon+tablets#tech,06/11/14,http://www.phonearena.com/news/Amazon-Kindle-Fire-HDX-8.9-beats-out-the-Apple-iPad-Air-and-Nexus-10-in-display-test_id49053,B00BWYQ9YE
Apple Imac 27”,Apple,All-in-one,http://www.amazon.com/Apple-ME089LL-27-Inch-Desktop-VERSION/dp/B00746WPXI,1749.99,9525.44,27,2560,1440,300,ME088LL/A,http://www.apple.com/imac/specs/,06/10/14,"http://www.pcmag.com/article2/0,2817,2411377,00.asp",B00746WPXI
"Apple 27"" Thunderbolt Display",Apple,desktop monitor,http://www.amazon.com/Apple-Thunderbolt-Display-MC914LL-VERSION/dp/B004YLCKYA,999,10659.42,27,2560,1440,375,MC007LL/A ,http://www.apple.com/displays/specs.html,06/10/14,http://www.apple.com/displays/specs.html,B004YLCKYA
Macbook Air 13”,Apple,laptop,http://www.amazon.com/Apple-MacBook-MD760LL-13-3-Inch-VERSION/dp/B00746Z6RK,999,1342.6,13,1440,900,288,MD760LL/B,https://www.apple.com/macbook-air/,06/10/14,http://www.laptopmag.com/reviews/laptops/apple-macbook-air-13-inch-2014.aspx,B00746Z6RK
Macbook Pro with Retina 13”,Apple,laptop,http://www.amazon.com/Apple-MacBook-MGX72LL-13-3-Inch-Display/dp/B0096VDM8G/ref=psdc1_t2_B00746ZB0W_B0096VDM8G,1234.99,1569.43,13.3,2560,1440,300,ME865LL/A,http://www.apple.com/macbook-pro/specs-retina/,06/10/14,http://appleinsider.com/articles/12/10/23/apple-unveils-13-inch-macbook-pro-with-retina-display,B0096VDM8G
Apple Iphone 5S,Apple,smartphone,http://www.amazon.com/Apple-iPhone-5s-Space-Unlocked/dp/B00F3J4B5S,669,112,4,1136,640,580,ME343LL/A,http://www.apple.com/iphone-5s/specs/,06/10/14,http://www.phonearena.com/reviews/Google-Nexus-5-vs-Apple-iPhone-5s_id3480,B00F3J4B5S
Iphone 4s,Apple,smartphone,http://www.amazon.com/Apple-iPhone-4S-16GB-White/dp/B005SSB0YO,344.16,140,3.5,960,640,557,A1387,http://www.phonearena.com/phones/Apple-iPhone-4s_id5257/benchmarks,08/07/14,,B005SSB0YO
Apple Ipad Mini with Retina,Apple,tablet,http://www.amazon.com/Apple-Retina-Display-Silver-number/dp/B00GQDBS7O,352.49,331.6,7.9,2048,1536,450,ME279LL/A,http://www.apple.com/ipad-mini/,06/10/14,http://www.phonearena.com/reviews/LG-G-Pad-8.3-vs-Apple-iPad-mini-2-with-Retina-Display_id3527,B00GQDBS7O
Apple Ipad Air,Apple,tablet,http://www.amazon.com/Apple-MD788LL-Silver-NEWEST-VERSION/dp/B00G2Y4WNY,438.38,453.59,9.7,2048,1536,364,MD788LL/A,https://www.apple.com/ipad-air/,06/11/14,http://www.phonearena.com/reviews/Samsung-Galaxy-Note-10.1-2014-vs-Apple-iPad-4_id3445,B00G2Y4WNY
Dell Ultrasharp 27” Monitor,Dell,desktop monitor,http://www.amazon.com/Dell-U2713HM-IPS-LED-CVN85-27-Inch-LED-lit/dp/B009H0XQQY,615.29,5642.69,27,2560,1440,350,U2713H,http://accessories.us.dell.com/sna/productdetail.aspx?c=us&l=en&cs=19&sku=225-4148,06/10/14,http://accessories.us.dell.com/sna/productdetail.aspx?c=us&l=en&cs=19&sku=225-4148,B009H0XQQY
Google Nexus 5,Google,smartphone,http://www.amazon.com/Google-Nexus-Unlocked-Phone-Black/dp/B00GD6H0NU,452,130,4.95,1920,1080,480,LGD82016KT,http://www.google.com/nexus/5/,06/10/14,http://www.phonearena.com/reviews/Google-Nexus-5-vs-Apple-iPhone-5s_id3480,B00GD6H0NU
