Item,Company,Type,PriceSource,Price,WeightGrams,DiameterInches,HorizontalPixels,VerticalPixels,BrightnessNits,Model,DataSource01,SampleDate,DataSource02
HP Pavillion TouchSmart,HP,Laptop,http://www.amazon.com/HP-Touchsmart-11-E010nr-11-6-Inch-Touchscreen/dp/B00E3KQWIC,$359.99,1528.6,11.6,1366,768,200,E010nr,http://www.hp.com/ctg/Manual/c04016432.pdf,07/11/14,
HP ChromeBook 14,HP,Laptop,http://www.amazon.com/HP-Chromebook-14-Snow-White/dp/B00FGOTC0Y,$299.00,1850.6,14,1366,768,209,F0G99UA#ABA,http://www.laptopmag.com/reviews/laptops/hp-chromebook-14.aspx,07/11/14,
Vaio Duo 13,Sony ,Laptop,http://www.amazon.com/Sony-SVD13225PXW-13-3-Inch-Convertible-Touchscreen/dp/B00FB45WTE/ref=dp_ob_title_ce,"$1,899.99",1329,13.3,1920,1080,265,SVD13225PXB,http://www.mobiletechreview.com/notebooks/Sony-Vaio-Duo-13.htm,07/11/14,
Samsung Gear 2 ,Samsung,Smartwatch ,http://www.amazon.com/Samsung-Gear-Smartwatch-Silver-Black/dp/B00JBJ3HQ0,$299.99,68,1.63,320,320,415,SM-R3800MOAXAR,http://www.theinquirer.net/inquirer/review/2345100/samsung-gear-2-smartwatch-review,07/11/14,http://www.displaymate.com/Smart_Watch_ShootOut_1.htm
LG G Watch ,LG,Smartwatch ,http://www.amazon.com/LG-Watch-Powered-Android-Wear/dp/B00LB2ZQ3C,$229.99,62.36,2.2,280,280,CANT FIND,652810501132,http://www.bestbuy.com/site/lg-g-watch-for-select-android-devices-titan-black/7731019.p?id=1219288453466&skuId=7731019&st=sepm-lg-g-watch-124442&cp=1&lp=1,07/28/14,
Surface Pro 3,Microsoft ,Tablet ,http://www.amazon.com/Microsoft-Surface-Pro-4GB-128GB/dp/B00KHR4T8U,$953.89,1088.62,12,2160,1440,371,MQ2-00001,http://www.microsoft.com/surface/en-us/products/surface-pro-3,08/13/14,http://gadgets.ndtv.com/tablets/news/microsoft-surface-pro-3-display-receives-stellar-rating-from-displaymate-568689
VAIO Fit Notebook,Sony,Laptop,http://www.amazon.com/Sony-SVF15A1BCXS-15-5-Inch-Touchscreen-Laptop/dp/B00FPILVWI,"$1,049.50",2599,15.5,1920,1080,300,SVF15A1BCXS,http://www.bestbuy.com/site/sony-15-5-vaio-fit-notebook-8-gb-memory/1311251372.p?id=mp1311251372&skuId=1311251372&st=categoryid$pcmcat247400050000&cp=1&lp=5#tab=buyingOptions,,http://www.mobiletechreview.com/notebooks/Sony-Vaio-Flip-13.htm
Acer Aspire S7,Acer,Laptop,http://www.laptopmag.com/reviews/laptops/acer-aspire-s7-392,"$1,399.00",1360.78,13.3,2560,1440,242,NX.MBKAA.031,http://www.laptopmag.com/reviews/laptops/acer-aspire-s7-392.aspx,07/30/14,
Acer Aspire E15 Touch,Acer,Laptop,http://www.amazon.com/Acer-Aspire-ES1-511-C59V-15-6-Inch-Diamond/dp/B00K2O4TI8,$278.19,2399.5,15.6,1366,768,193,E5-571P-363N,http://www.laptopmag.com/review/laptops/acer-aspire-e15-touch.aspx,07/30/14,
Acer Aspire V3-111P,Acer,Laptop,http://www.amazon.com/Acer-Aspire-V3-111P-43BC-11-6-Inch-Touchscreen/dp/B00K2O4VLS,$379.00,1388,11.6,1366,768,171,NX.MP0AA.004,http://www.laptopmag.com/reviews/laptops/acer-aspire-v3-111p.aspx,07/31/14,
HP Spectre 13 Ultrabook,HP,Laptop,http://www.cnet.com/products/hp-spectre-13t-3000-ultrabook/,$999.99,1496.85,13.3,1920,1080,231,13t-3000,http://www.laptopmag.com/review/laptops/hp-spectre-13t.aspx,07/31/14,
